config	docs_with_source	pred_entities	gold_entities	entity_count_diff	exact_span_recall	overlap_span_recall	exact_span_precision	exact_matches	overlap_matches	type_agreement_on_overlap	assertion_agreement_on_overlap	procedure_as_test_survival	procedure_survival_rate	lab_split_agreement	symptom_diagnosis_agreement	unique_final_entities_supported
A_only	99	2034	2213	-179	0.711252	0.823317	0.773845	1574	1822	0.985885	0.846906	10/159	0.062893	0.789386	0.839472	1574
B_only	98	1002	2213	-1211	0.363308	0.398554	0.802395	804	882	0.978982	0.948009	14/159	0.08805	0.344942	0.410702	804
C_only	99	1635	2213	-578	0.581112	0.641663	0.786544	1286	1420	0.96496	0.873315	18/159	0.113208	0.640133	0.602502	1286
A_B_union	100	2409	2213	196	0.809761	0.891098	0.743877	1792	1972	0.986308	0.873732	22/159	0.138365	0.85738	0.899931	1792
A_C_union	100	2600	2213	387	0.851333	0.92047	0.724615	1884	2037	0.990182	0.876289	22/159	0.138365	0.913765	0.921473	1884
B_C_union	100	2066	2213	-147	0.709444	0.767736	0.759923	1570	1699	0.978811	0.924073	25/159	0.157233	0.752902	0.749131	1570
