alias	normalized_alias	compact_alias	rxcui_count	rxcuis	ttys	original_terms
ambroxol 1.5 mg/ml	ambroxol 1 5 mg ml	ambroxol15mgml	2	332879|437531	SCDC	ambroxol 1.5 mg/ml|ambroxol 15 mg/ml
aminophylline 2.5 mg/ml	aminophylline 25 mg ml	aminophylline25mgml	2	350709|437036	SCDC	aminophylline 2.5 mg/ml|aminophylline 25 mg/ml
amphetamine 1.25 mg	amphetamine 1 25 mg	amphetamine125mg	2	1739801|343573	SCDC	amphetamine 1.25 mg|amphetamine 12.5 mg
amphetamine aspartate 1.25 mg	amphetamine aspartate 1 25 mg	amphetamineaspartate125mg	2	1927606|540473	SCDC	amphetamine aspartate 1.25 mg|amphetamine aspartate 12.5 mg
amphetamine sulfate 1.25 mg	amphetamine sulfate 1 25 mg	amphetaminesulfate125mg	2	1927607|540474	SCDC	amphetamine sulfate 1.25 mg|amphetamine sulfate 12.5 mg
apap 2.5 mg/ml oral solution	apap 2 5 mg ml oral solution	apap25mgmloralsolution	2	387001|755717	SY	apap 2.5 mg/ml oral solution|apap 25 mg/ml oral solution
arginine 1.2 mg/ml	arginine 12 mg ml	arginine12mgml	2	800594|800935	SCDC	arginine 1.2 mg/ml|arginine 12 mg/ml
ascorbic acid 62.5 mg	ascorbic acid 62 5 mg	ascorbicacid625mg	2	437621|437622	SCDC	ascorbic acid 62.5 mg|ascorbic acid 625 mg
benzalkonium chloride 1.25 mg/ml	benzalkonium chloride 1 25 mg ml	benzalkoniumchloride125mgml	2	1113692|1494036	SCDC	benzalkonium chloride 1.25 mg/ml|benzalkonium chloride 12.5 mg/ml
benzalkonium chloride 1.2 mg/ml	benzalkonium chloride 1 2 mg ml	benzalkoniumchloride12mgml	2	1038740|2390354	SCDC	benzalkonium chloride 1.2 mg/ml|benzalkonium chloride 12 mg/ml
benzalkonium chloride 1.2 mg/ml topical solution	benzalkonium chloride 1 2 mg ml topical solution	benzalkoniumchloride12mgmltopicalsolution	2	1052949|2390355	SCD	benzalkonium chloride 1.2 mg/ml topical solution|benzalkonium chloride 12 mg/ml topical solution
benzalkonium chloride 1.3 mg/ml	benzalkonium chloride 1 3 mg ml	benzalkoniumchloride13mgml	2	1089989|997657	SCDC	benzalkonium chloride 1.3 mg/ml|benzalkonium chloride 13 mg/ml
benzalkonium chloride 1.3 mg/ml medicated liquid soap	benzalkonium chloride 1 3 mg ml medicated liquid soap	benzalkoniumchloride13mgmlmedicatedliquidsoap	2	1046593|1089990	SCD	benzalkonium chloride 1.3 mg/ml medicated liquid soap|benzalkonium chloride 13 mg/ml medicated liquid soap
