alias	normalized_alias	compact_alias	rxcui_count	rxcuis	ttys	original_terms
hydrogen peroxide 1.25 mg/ml	hydrogen peroxide 12 5 mg ml	hydrogenperoxide125mgml	2	1370370|2397695	SCDC	hydrogen peroxide 1.25 mg/ml|hydrogen peroxide 12.5 mg/ml
hydrogen peroxide 1.5 % mucous membrane topical solution	hydrogen peroxide 1 5 mucous membrane topical solution	hydrogenperoxide15mucousmembranetopicalsolution	2	205336|708104	SY|SY|PSN	hydrogen peroxide 1.5 % mucous membrane topical solution|hydrogen peroxide 15 % mucous membrane topical solution
hypromellose 2.5 mg/ml	hypromellose 25 mg ml	hypromellose25mgml	2	323955|358711	SCDC	hypromellose 2.5 mg/ml|hypromellose 25 mg/ml
hypromellose 2.5 mg/ml ophthalmic solution	hypromellose 2 5 mg ml ophthalmic solution	hypromellose25mgmlophthalmicsolution	2	203098|310934	SCD	hypromellose 2.5 mg/ml ophthalmic solution|hypromellose 25 mg/ml ophthalmic solution
hyrimoz pediatric crohn's starter kit patient weight < 40 kg	hyrimoz pediatric crohns starter kit patient weight 40 kg	hyrimozpediatriccrohnsstarterkitpatientweight40kg	2	2641669|2641673	SY|PSN	hyrimoz pediatric crohn's starter kit patient weight < 40 kg|hyrimoz pediatric crohn's starter kit patient weight > 40 kg
ibuprofen 200 mg [ibu-tab]	ibuprofen 200 mg ibu tab	ibuprofen200mgibutab	2	1359093|567691	SBDC	ibuprofen 200 mg [ibu-tab]|ibuprofen 200 mg [ibutab]
ibuprofen 200 mg oral tablet [ibu-tab]	ibuprofen 200 mg oral tablet ibu tab	ibuprofen200mgoraltabletibutab	2	1359097|206889	SBD	ibuprofen 200 mg oral tablet [ibu-tab]|ibuprofen 200 mg oral tablet [ibutab]
ibuprofen oral tablet [ibu-tab]	ibuprofen oral tablet ibu tab	ibuprofenoraltabletibutab	2	1359094|368822	SBDF	ibuprofen oral tablet [ibu-tab]|ibuprofen oral tablet [ibutab]
ibu-tab	ibu tab	ibutab	2	1359092|217694	BN	ibu-tab|ibutab
ibu-tab 200 mg oral tablet	ibu tab 200 mg oral tablet	ibutab200mgoraltablet	2	1359097|206889	SY|PSN	ibu-tab 200 mg oral tablet|ibutab 200 mg oral tablet
ibu-tab oral product	ibu tab oral product	ibutaboralproduct	2	1166577|1359095	SBDG	ibu-tab oral product|ibutab oral product
ibu-tab pill	ibu tab pill	ibutabpill	2	1166578|1359096	SBDG	ibu-tab pill|ibutab pill
interceptor 2.3 mg oral tablet	interceptor 2 3 mg oral tablet	interceptor23mgoraltablet	2	890933|890937	SY	interceptor 2.3 mg oral tablet|interceptor 23 mg oral tablet
interceptor flavor tabs 2.3 mg oral tablet	interceptor flavor tabs 2 3 mg oral tablet	interceptorflavortabs23mgoraltablet	2	890933|890937	PSN	interceptor flavor tabs 2.3 mg oral tablet|interceptor flavor tabs 23 mg oral tablet
interceptor plus (milbemycin oxime 2.3 mg / praziquantel 22.8 mg) chewable tablet	interceptor plus milbemycin oxime 2 3 mg praziquantel 22 8 mg chewable tablet	interceptorplusmilbemycinoxime23mgpraziquantel228mgchewabletablet	2	2058482|2058491	SY	interceptor plus (milbemycin oxime 2.3 mg / praziquantel 22.8 mg) chewable tablet|interceptor plus (milbemycin oxime 23 mg / praziquantel 228 mg) chewable tablet
iodine 2.5 mg/ml	iodine 2 5 mg ml	iodine25mgml	2	335030|440758	SCDC	iodine 2.5 mg/ml|iodine 25 mg/ml
iodine 2.5 mg/ml topical solution	iodine 25 mg ml topical solution	iodine25mgmltopicalsolution	2	421536|991284	SCD	iodine 2.5 mg/ml topical solution|iodine 25 mg/ml topical solution
ipecac 1.4 mg/ml	ipecac 1 4 mg ml	ipecac14mgml	2	440808|628450	SCDC	ipecac 1.4 mg/ml|ipecac 14 mg/ml
ipecac 1.4 mg/ml oral solution	ipecac 1 4 mg ml oral solution	ipecac14mgmloralsolution	2	756112|756113	SCD	ipecac 1.4 mg/ml oral solution|ipecac 14 mg/ml oral solution
isotretinoin 2.5 mg	isotretinoin 2 5 mg	isotretinoin25mg	2	1547560|440914	SCDC|TMSY	isotretinoin 2.5 mg|isotretinoin 25 mg
isotretinoin 2.5 mg oral capsule	isotretinoin 2 5 mg oral capsule	isotretinoin25mgoralcapsule	2	1547561|411392	SCD|TMSY|SCD|TMSY|PSN	isotretinoin 2.5 mg oral capsule|isotretinoin 25 mg oral capsule
kaolin 197 mg/ml / pectin 4.4 mg/ml oral suspension	kaolin 197 mg ml pectin 44 mg ml oral suspension	kaolin197mgmlpectin44mgmloralsuspension	2	246538|422018	SCD	kaolin 197 mg/ml / pectin 4.4 mg/ml oral suspension|kaolin 197 mg/ml / pectin 44 mg/ml oral suspension
k+ chloride 2.5 meq oral tablet	k chloride 2 5 meq oral tablet	kchloride25meqoraltablet	2	237389|312517	SY	k+ chloride 2.5 meq oral tablet|k+ chloride 25 meq oral tablet
ketamine 100 mg/ml injectable solution [keta-thesia]	ketamine 100 mg ml injectable solution keta thesia	ketamine100mgmlinjectablesolutionketathesia	2	1301259|631282	SBD	ketamine 100 mg/ml injectable solution [keta-thesia]|ketamine 100 mg/ml injectable solution [ketathesia]
ketamine 100 mg/ml [keta-thesia]	ketamine 100 mg ml keta thesia	ketamine100mgmlketathesia	2	1301256|631280	SBDC	ketamine 100 mg/ml [keta-thesia]|ketamine 100 mg/ml [ketathesia]
ketamine injectable solution [keta-thesia]	ketamine injectable solution keta thesia	ketamineinjectablesolutionketathesia	2	1301257|631281	SBDF	ketamine injectable solution [keta-thesia]|ketamine injectable solution [ketathesia]
keta-thesia	keta thesia	ketathesia	2	1301255|631279	BN	keta-thesia|ketathesia
keta-thesia 100 mg/ml injectable solution	keta thesia 100 mg ml injectable solution	ketathesia100mgmlinjectablesolution	2	1301259|631282	SY	keta-thesia 100 mg/ml injectable solution|ketathesia 100 mg/ml injectable solution
keta-thesia injectable product	keta thesia injectable product	ketathesiainjectableproduct	2	1170701|1301258	SBDG	keta-thesia injectable product|ketathesia injectable product
lenalidomide 2.5 mg	lenalidomide 25 mg	lenalidomide25mg	2	1242230|643719	SCDC	lenalidomide 2.5 mg|lenalidomide 25 mg
lenalidomide 2.5 mg oral capsule	lenalidomide 25 mg oral capsule	lenalidomide25mgoralcapsule	2	1242231|643720	SCD|PSN	lenalidomide 2.5 mg oral capsule|lenalidomide 25 mg oral capsule
lenalidomide 2.5 mg oral capsule [revlimid]	lenalidomide 25 mg oral capsule revlimid	lenalidomide25mgoralcapsulerevlimid	2	1242233|643722	SBD	lenalidomide 2.5 mg oral capsule [revlimid]|lenalidomide 25 mg oral capsule [revlimid]
lenalidomide 2.5 mg [revlimid]	lenalidomide 25 mg revlimid	lenalidomide25mgrevlimid	2	1242232|643721	SBDC	lenalidomide 2.5 mg [revlimid]|lenalidomide 25 mg [revlimid]
leucine 1.4 mg/ml	leucine 1 4 mg ml	leucine14mgml	2	800601|801400	SCDC	leucine 1.4 mg/ml|leucine 14 mg/ml
leucovorin 2.5 mg	leucovorin 25 mg	leucovorin25mg	2	329898|440776	SCDC	leucovorin 2.5 mg|leucovorin 25 mg
leucovorin 2.5 mg oral tablet	leucovorin 25 mg oral tablet	leucovorin25mgoraltablet	2	197862|432927	SCD	leucovorin 2.5 mg oral tablet|leucovorin 25 mg oral tablet
levothyroxine sodium 12.5 mcg oral tablet	levothyroxine sodium 125 mcg oral tablet	levothyroxinesodium125mcgoraltablet	2	966224|966280	SY|PSN	levothyroxine sodium 12.5 mcg oral tablet|levothyroxine sodium 125 mcg oral tablet
limonene oxide	limonene oxide	limoneneoxide	2	1992034|1992035	IN|PIN	limonene oxide|limonene oxide, (+)-
loxapine 2.5 mg	loxapine 25 mg	loxapine25mg	2	329943|434659	SCDC	loxapine 2.5 mg|loxapine 25 mg
loxapine 2.5 mg oral tablet	loxapine 25 mg oral tablet	loxapine25mgoraltablet	2	248746|430457	SCD	loxapine 2.5 mg oral tablet|loxapine 25 mg oral tablet
lutein 2.5 mg	lutein 2 5 mg	lutein25mg	2	1115784|1291248	SCDC	lutein 2.5 mg|lutein 25 mg
magnesium hydroxide 13.3 mg/ml	magnesium hydroxide 133 mg ml	magnesiumhydroxide133mgml	2	1233565|330967	SCDC	magnesium hydroxide 13.3 mg/ml|magnesium hydroxide 133 mg/ml
max revive	max revive	maxrevive	2	1482614|1874175	BN	max revive|maxrevive
max revive topical product	max revive topical product	maxrevivetopicalproduct	2	1482617|1874178	SBDG	max revive topical product|maxrevive topical product
menthol	menthol	menthol	2	1648123|6750	IN|PIN	menthol|menthol, (+)-
menthol 1.2 % topical gel	menthol 1 2 topical gel	menthol12topicalgel	2	2045038|2121666	SY|SY|PSN	menthol 1.2 % topical gel|menthol 12 % topical gel
menthol 14.5 mg/ml	menthol 14 5 mg ml	menthol145mgml	2	1046588|1293428	SCDC	menthol 14.5 mg/ml|menthol 145 mg/ml
menthol 1.5 mg	menthol 1 5 mg	menthol15mg	2	1043730|1421440	SCDC	menthol 1.5 mg|menthol 15 mg
menthol 1.5 mg/ml	menthol 15 mg ml	menthol15mgml	2	331743|446274	SCDC	menthol 1.5 mg/ml|menthol 15 mg/ml
menthol 1.5 mg/ml topical lotion	menthol 15 mg ml topical lotion	menthol15mgmltopicallotion	2	1148429|1293192	SCD	menthol 1.5 mg/ml topical lotion|menthol 15 mg/ml topical lotion
menthol 1.5 mg oral lozenge	menthol 1 5 mg oral lozenge	menthol15mgorallozenge	2	1043731|1421441	SCD|PSN	menthol 1.5 mg oral lozenge|menthol 15 mg oral lozenge
menthol 1.6 mg	menthol 1 6 mg	menthol16mg	2	2122214|452756	SCDC	menthol 1.6 mg|menthol 16 mg
menthol 1.6 mg oral lozenge	menthol 1 6 mg oral lozenge	menthol16mgorallozenge	2	2122215|637116	SCD|PSN	menthol 1.6 mg oral lozenge|menthol 16 mg oral lozenge
menthol 1.8 mg	menthol 18 mg	menthol18mg	2	1422186|1429018	SCDC	menthol 1.8 mg|menthol 18 mg
menthol 1.8 mg [halls]	menthol 18 mg halls	menthol18mghalls	2	1422188|2109513	SBDC	menthol 1.8 mg [halls]|menthol 18 mg [halls]
menthol 1.8 mg oral lozenge	menthol 18 mg oral lozenge	menthol18mgorallozenge	2	1422187|1429019	SCD|PSN	menthol 1.8 mg oral lozenge|menthol 18 mg oral lozenge
menthol 1.8 mg oral lozenge [halls]	menthol 18 mg oral lozenge halls	menthol18mgorallozengehalls	2	1422189|2109514	SBD	menthol 1.8 mg oral lozenge [halls]|menthol 18 mg oral lozenge [halls]
menthol 2.5 mg/ml	menthol 2 5 mg ml	menthol25mgml	2	336317|884801	SCDC	menthol 2.5 mg/ml|menthol 25 mg/ml
menthol 2.6 mg/ml	menthol 26 mg ml	menthol26mgml	2	2370900|384577	SCDC	menthol 2.6 mg/ml|menthol 26 mg/ml
menthol 3.5 mg	menthol 3 5 mg	menthol35mg	2	2053865|446216	SCDC	menthol 3.5 mg|menthol 35 mg
menthol 3.7 mg	menthol 3 7 mg	menthol37mg	2	1114447|1304083	SCDC	menthol 3.7 mg|menthol 37 mg
menthol 4.5 mg/ml	menthol 4 5 mg ml	menthol45mgml	2	1928602|2171391	SCDC	menthol 4.5 mg/ml|menthol 45 mg/ml
menthol / methyl salicylate medicated patch [max revive]	menthol methyl salicylate medicated patch max revive	mentholmethylsalicylatemedicatedpatchmaxrevive	2	1792923|1874177	SBDF	menthol / methyl salicylate medicated patch [max revive]|menthol / methyl salicylate medicated patch [maxrevive]
menthone, (+)-	menthone	menthone	2	2048709|2282305	IN	menthone, (+)-|menthone, (+/-)-
menthone 1,2-glycerol ketal, (+/-)-	menthone 1 2 glycerol ketal	menthone12glycerolketal	2	1426479|2462151	IN	menthone 1,2-glycerol ketal, (+/-)-|menthone 1,2-glycerol ketal, (-)-
menthyl acetate	menthyl acetate	menthylacetate	2	2048710|2282306	IN|SY	menthyl acetate|menthyl acetate, (+/-)-|menthyl acetate, (-)-
methadone hydrochloride 2.5 mg/ml	methadone hydrochloride 2 5 mg ml	methadonehydrochloride25mgml	2	864785|864793	SCDC	methadone hydrochloride 2.5 mg/ml|methadone hydrochloride 25 mg/ml
methotrexate 2.5 mg/ml	methotrexate 25 mg ml	methotrexate25mgml	2	328406|330028	SCDC	methotrexate 2.5 mg/ml|methotrexate 25 mg/ml
methotrexate 2.5 mg/ml injectable solution	methotrexate 2 5 mg ml injectable solution	methotrexate25mgmlinjectablesolution	2	1946772|315148	SCD|SCD|PSN	methotrexate 2.5 mg/ml injectable solution|methotrexate 25 mg/ml injectable solution
methotrexate (as methotrexate sodium) 2.5 mg/ml injectable solution	methotrexate as methotrexate sodium 2 5 mg ml injectable solution	methotrexateasmethotrexatesodium25mgmlinjectablesolution	2	1946772|315148	SY	methotrexate (as methotrexate sodium) 2.5 mg/ml injectable solution|methotrexate (as methotrexate sodium) 25 mg/ml injectable solution
methyl lactate	methyl lactate	methyllactate	2	1310580|1551572	IN|PIN	methyl lactate|methyl lactate, (+)-
methylphenidate hydrochloride 2.5 mg	methylphenidate hydrochloride 2 5 mg	methylphenidatehydrochloride25mg	2	1091388|2119558	SCDC	methylphenidate hydrochloride 2.5 mg|methylphenidate hydrochloride 25 mg
methyltestosterone 2.5 mg	methyltestosterone 2 5 mg	methyltestosterone25mg	2	316290|316291	SCDC|TMSY	methyltestosterone 2.5 mg|methyltestosterone 25 mg
mevalonolactone	mevalonolactone	mevalonolactone	2	1442201|1442202	IN|PIN	mevalonolactone|mevalonolactone, (+/-)-
milbeguard 2.3 mg oral tablet	milbeguard 2 3 mg oral tablet	milbeguard23mgoraltablet	2	2106990|2106992	SY|PSN	milbeguard 2.3 mg oral tablet|milbeguard 23 mg oral tablet
milbehart 2.3 mg oral tablet	milbehart 2 3 mg oral tablet	milbehart23mgoraltablet	2	2534472|2534478	SY|PSN	milbehart 2.3 mg oral tablet|milbehart 23 mg oral tablet
milbemycin oxime 2.3 mg	milbemycin oxime 2 3 mg	milbemycinoxime23mg	2	890930|890934	SCDC	milbemycin oxime 2.3 mg|milbemycin oxime 23 mg
milbemycin oxime 2.3 mg [interceptor]	milbemycin oxime 2 3 mg interceptor	milbemycinoxime23mginterceptor	2	890932|890936	SBDC	milbemycin oxime 2.3 mg [interceptor]|milbemycin oxime 23 mg [interceptor]
milbemycin oxime 2.3 mg [milbeguard]	milbemycin oxime 2 3 mg milbeguard	milbemycinoxime23mgmilbeguard	2	2106989|2106991	SBDC	milbemycin oxime 2.3 mg [milbeguard]|milbemycin oxime 23 mg [milbeguard]
milbemycin oxime 2.3 mg [milbehart]	milbemycin oxime 2 3 mg milbehart	milbemycinoxime23mgmilbehart	2	2534468|2534477	SBDC	milbemycin oxime 2.3 mg [milbehart]|milbemycin oxime 23 mg [milbehart]
milbemycin oxime 2.3 mg oral tablet	milbemycin oxime 2 3 mg oral tablet	milbemycinoxime23mgoraltablet	2	890931|890935	SCD|PSN	milbemycin oxime 2.3 mg oral tablet|milbemycin oxime 23 mg oral tablet
milbemycin oxime 2.3 mg oral tablet [interceptor]	milbemycin oxime 2 3 mg oral tablet interceptor	milbemycinoxime23mgoraltabletinterceptor	2	890933|890937	SBD	milbemycin oxime 2.3 mg oral tablet [interceptor]|milbemycin oxime 23 mg oral tablet [interceptor]
milbemycin oxime 2.3 mg oral tablet [milbeguard]	milbemycin oxime 2 3 mg oral tablet milbeguard	milbemycinoxime23mgoraltabletmilbeguard	2	2106990|2106992	SBD	milbemycin oxime 2.3 mg oral tablet [milbeguard]|milbemycin oxime 23 mg oral tablet [milbeguard]
milbemycin oxime 2.3 mg oral tablet [milbehart]	milbemycin oxime 2 3 mg oral tablet milbehart	milbemycinoxime23mgoraltabletmilbehart	2	2534472|2534478	SBD	milbemycin oxime 2.3 mg oral tablet [milbehart]|milbemycin oxime 23 mg oral tablet [milbehart]
milbemycin oxime 2.3 mg / praziquantel 22.8 mg chewable tablet	milbemycin oxime 2 3 mg praziquantel 22 8 mg chewable tablet	milbemycinoxime23mgpraziquantel228mgchewabletablet	2	2058475|2058489	SCD|SCD|PSN	milbemycin oxime 2.3 mg / praziquantel 22.8 mg chewable tablet|milbemycin oxime 23 mg / praziquantel 228 mg chewable tablet
milbemycin oxime 2.3 mg / praziquantel 22.8 mg chewable tablet [interceptor plus]	milbemycin oxime 2 3 mg praziquantel 22 8 mg chewable tablet interceptor plus	milbemycinoxime23mgpraziquantel228mgchewabletabletinterceptorplus	2	2058482|2058491	SBD	milbemycin oxime 2.3 mg / praziquantel 22.8 mg chewable tablet [interceptor plus]|milbemycin oxime 23 mg / praziquantel 228 mg chewable tablet [interceptor plus]
milbemycin oxime 2.3 mg / praziquantel 22.8 mg [interceptor plus]	milbemycin oxime 2 3 mg praziquantel 22 8 mg interceptor plus	milbemycinoxime23mgpraziquantel228mginterceptorplus	2	2058477|2058490	SBDC	milbemycin oxime 2.3 mg / praziquantel 22.8 mg [interceptor plus]|milbemycin oxime 23 mg / praziquantel 228 mg [interceptor plus]
nature-throid 16.25 mg oral tablet	nature throid 16 25 mg oral tablet	naturethroid1625mgoraltablet	2	1537769|728583	SY|PSN	nature-throid 16.25 mg oral tablet|nature-throid 162.5 mg oral tablet
nature-throid 32.5 mg oral tablet	nature throid 32 5 mg oral tablet	naturethroid325mgoraltablet	2	1301876|728587	SY|PSN	nature-throid 32.5 mg oral tablet|nature-throid 325 mg oral tablet
ocu-mycin	ocumycin	ocumycin	2	218855|352830	BN	ocu-mycin|ocumycin
ocu-mycin ophthalmic product	ocu mycin ophthalmic product	ocumycinophthalmicproduct	2	1180541|1181137	SBDG	ocu-mycin ophthalmic product|ocumycin ophthalmic product
oxatomide 2.5 mg/ml	oxatomide 25 mg ml	oxatomide25mgml	2	337386|337489	SCDC	oxatomide 2.5 mg/ml|oxatomide 25 mg/ml
oxatomide 2.5 mg/ml oral suspension	oxatomide 2 5 mg ml oral suspension	oxatomide25mgmloralsuspension	2	246130|250999	SCD	oxatomide 2.5 mg/ml oral suspension|oxatomide 25 mg/ml oral suspension
(+)-panthenol	panthenol	panthenol	2	1044977|22701	IN|SY	(+)-panthenol|panthenol
pantolactone	pantolactone	pantolactone	2	1426783|1427237	IN|PIN	pantolactone|pantolactone, (+-)-
pantothenic acid	pantothenic acid	pantothenicacid	2	2394646|7891	IN|PIN	pantothenic acid|pantothenic acid, (+-)-
pantothenic acid 12.5 mg	pantothenic acid 125 mg	pantothenicacid125mg	2	333957|451453	SCDC	pantothenic acid 12.5 mg|pantothenic acid 125 mg
papain 7.5 mg	papain 75 mg	papain75mg	2	437130|578353	SCDC	papain 7.5 mg|papain 75 mg
pectin 4.4 mg/ml	pectin 44 mg ml	pectin44mgml	2	335084|440965	SCDC	pectin 4.4 mg/ml|pectin 44 mg/ml
pectin 6.6 mg/ml	pectin 6 6 mg ml	pectin66mgml	2	440963|582552	SCDC	pectin 6.6 mg/ml|pectin 66 mg/ml
periciazine 2.5 mg	periciazine 2 5 mg	periciazine25mg	2	343352|385677	SCDC	periciazine 2.5 mg|periciazine 25 mg
periciazine 2.5 mg oral tablet	periciazine 2 5 mg oral tablet	periciazine25mgoraltablet	2	104744|104746	SCD|SCD|PSN	periciazine 2.5 mg oral tablet|periciazine 25 mg oral tablet
phenobarbital 1.5 mg/ml	phenobarbital 15 mg ml	phenobarbital15mgml	2	316477|353593	SCDC|TMSY	phenobarbital 1.5 mg/ml|phenobarbital 15 mg/ml
phenobarbital 1.5 mg/ml oral solution	phenobarbital 15 mg ml oral solution	phenobarbital15mgmloralsolution	2	435436|756326	SCD|TMSY	phenobarbital 1.5 mg/ml oral solution|phenobarbital 15 mg/ml oral solution
phenobarbital 3.2 mg/ml	phenobarbital 3 2 mg ml	phenobarbital32mgml	2	328888|330118	SCDC|TMSY	phenobarbital 3.2 mg/ml|phenobarbital 32 mg/ml
phenobarbital 6.5 mg	phenobarbital 65 mg	phenobarbital65mg	2	316486|336464	SCDC|TMSY	phenobarbital 6.5 mg|phenobarbital 65 mg
phenylalanine 1.04 mg/ml	phenylalanine 1 04 mg ml	phenylalanine104mgml	2	800015|800577	SCDC	phenylalanine 1.04 mg/ml|phenylalanine 10.4 mg/ml
phenyl butyrate	phenylbutyrate	phenylbutyrate	2	1545685|81647	IN	phenyl butyrate|phenylbutyrate
phenylephrine 2.5 mg/ml	phenylephrine 25 mg ml	phenylephrine25mgml	2	323937|329039	SCDC	phenylephrine 2.5 mg/ml|phenylephrine 25 mg/ml
phenylephrine hydrochloride 1.25 mg	phenylephrine hydrochloride 1 25 mg	phenylephrinehydrochloride125mg	2	1037160|1367153	SCDC	phenylephrine hydrochloride 1.25 mg|phenylephrine hydrochloride 12.5 mg
phenylephrine hydrochloride 2.5 mg	phenylephrine hydrochloride 2 5 mg	phenylephrinehydrochloride25mg	2	1046711|998604	SCDC	phenylephrine hydrochloride 2.5 mg|phenylephrine hydrochloride 25 mg
phenylephrine hydrochloride 2.5 mg/ml	phenylephrine hydrochloride 2 5 mg ml	phenylephrinehydrochloride25mgml	2	1232666|997282	SCDC	phenylephrine hydrochloride 2.5 mg/ml|phenylephrine hydrochloride 25 mg/ml
phenylephrine hydrochloride 2.5 mg/ml [neo-synephrine]	phenylephrine hydrochloride 25 mg ml neo synephrine	phenylephrinehydrochloride25mgmlneosynephrine	2	1232668|1234577	SBDC	phenylephrine hydrochloride 2.5 mg/ml [neo-synephrine]|phenylephrine hydrochloride 25 mg/ml [neo-synephrine]
phenylephrine hydrochloride 7.5 mg	phenylephrine hydrochloride 7 5 mg	phenylephrinehydrochloride75mg	2	1308370|2371263	SCDC	phenylephrine hydrochloride 7.5 mg|phenylephrine hydrochloride 75 mg
phenylpropanolamine hydrochloride 2.5 mg/ml	phenylpropanolamine hydrochloride 2 5 mg ml	phenylpropanolaminehydrochloride25mgml	2	1037302|1192934	SCDC	phenylpropanolamine hydrochloride 2.5 mg/ml|phenylpropanolamine hydrochloride 25 mg/ml
phenylpropanolamine hydrochloride 2.5 mg/ml oral solution	phenylpropanolamine hydrochloride 2 5 mg ml oral solution	phenylpropanolaminehydrochloride25mgmloralsolution	2	1192935|756146	SCD	phenylpropanolamine hydrochloride 2.5 mg/ml oral solution|phenylpropanolamine hydrochloride 25 mg/ml oral solution
potassium 62.5 mg	potassium 62 5 mg	potassium625mg	2	332038|451187	SCDC	potassium 62.5 mg|potassium 625 mg
potassium chloride 2.5 meq	potassium chloride 25 meq	potassiumchloride25meq	2	316548|336291	SCDC	potassium chloride 2.5 meq|potassium chloride 25 meq
potassium chloride 2.5 meq oral tablet	potassium chloride 2 5 meq oral tablet	potassiumchloride25meqoraltablet	2	237389|312517	SCD|SCD|PSN	potassium chloride 2.5 meq oral tablet|potassium chloride 25 meq oral tablet
pot chloride 2.5 meq oral tablet	pot chloride 2 5 meq oral tablet	potchloride25meqoraltablet	2	237389|312517	SY	pot chloride 2.5 meq oral tablet|pot chloride 25 meq oral tablet
povidone-iodine 2.5 mg/ml	povidone iodine 25 mg ml	povidoneiodine25mgml	2	333204|349680	SCDC	povidone-iodine 2.5 mg/ml|povidone-iodine 25 mg/ml
povidone-iodine 7.5 mg/ml	povidone iodine 75 mg ml	povidoneiodine75mgml	2	1546211|329142	SCDC	povidone-iodine 7.5 mg/ml|povidone-iodine 75 mg/ml
povidone-iodine 7.5 mg/ml topical solution	povidone iodine 75 mg ml topical solution	povidoneiodine75mgmltopicalsolution	2	1546212|314188	SCD	povidone-iodine 7.5 mg/ml topical solution|povidone-iodine 75 mg/ml topical solution
praziquantel 22.8 mg	praziquantel 228 mg	praziquantel228mg	2	1487102|895891	SCDC	praziquantel 22.8 mg|praziquantel 228 mg
prednisolone 2.5 mg	prednisolone 25 mg	prednisolone25mg	2	333210|335529	SCDC|TMSY	prednisolone 2.5 mg|prednisolone 25 mg
prednisolone 2.5 mg/ml	prednisolone 2 5 mg ml	prednisolone25mgml	2	328813|337411	SCDC|TMSY	prednisolone 2.5 mg/ml|prednisolone 25 mg/ml
prednisolone 2.5 mg/ml ophthalmic suspension	prednisolone 2 5 mg ml ophthalmic suspension	prednisolone25mgmlophthalmicsuspension	2	312604|392181	SCD|TMSY	prednisolone 2.5 mg/ml ophthalmic suspension|prednisolone 25 mg/ml ophthalmic suspension
prednisolone 2.5 mg oral tablet	prednisolone 2 5 mg oral tablet	prednisolone25mgoraltablet	2	105411|199967	SCD|TMSY|SCD|TMSY|PSN	prednisolone 2.5 mg oral tablet|prednisolone 25 mg oral tablet
prednisone 2.5 mg	prednisone 2 5 mg	prednisone25mg	2	316581|316583	SCDC|TMSY	prednisone 2.5 mg|prednisone 25 mg
prednisone 2.5 mg oral tablet	prednisone 2 5 mg oral tablet	prednisone25mgoraltablet	2	198146|312616	SCD|TMSY|PSN	prednisone 2.5 mg oral tablet|prednisone 25 mg oral tablet
prochlorperazine 2.5 mg	prochlorperazine 2 5 mg	prochlorperazine25mg	2	316595|316596	SCDC	prochlorperazine 2.5 mg|prochlorperazine 25 mg
prochlorperazine 2.5 mg [compazine]	prochlorperazine 25 mg compazine	prochlorperazine25mgcompazine	2	544002|568387	SBDC	prochlorperazine 2.5 mg [compazine]|prochlorperazine 25 mg [compazine]
prochlorperazine 2.5 mg rectal suppository	prochlorperazine 25 mg rectal suppository	prochlorperazine25mgrectalsuppository	2	198159|198160	SCD|PSN	prochlorperazine 2.5 mg rectal suppository|prochlorperazine 25 mg rectal suppository
prochlorperazine 2.5 mg rectal suppository [compazine]	prochlorperazine 2 5 mg rectal suppository compazine	prochlorperazine25mgrectalsuppositorycompazine	2	207635|207639	SBD	prochlorperazine 2.5 mg rectal suppository [compazine]|prochlorperazine 25 mg rectal suppository [compazine]
progesterone 2.5 mg	progesterone 2 5 mg	progesterone25mg	2	316598|452134	SCDC	progesterone 2.5 mg|progesterone 25 mg
promazine 2.5 mg/ml	promazine 25 mg ml	promazine25mgml	2	328568|360918	SCDC	promazine 2.5 mg/ml|promazine 25 mg/ml
promethazine hydrochloride 2.5 mg/ml	promethazine hydrochloride 25 mg ml	promethazinehydrochloride25mgml	2	861572|992901	SCDC	promethazine hydrochloride 2.5 mg/ml|promethazine hydrochloride 25 mg/ml
pseudoephedrine hydrochloride 1.2 mg/ml	pseudoephedrine hydrochloride 12 mg ml	pseudoephedrinehydrochloride12mgml	2	2178055|996104	SCDC	pseudoephedrine hydrochloride 1.2 mg/ml|pseudoephedrine hydrochloride 12 mg/ml
pseudoephedrine hydrochloride 1.6 mg/ml	pseudoephedrine hydrochloride 1 6 mg ml	pseudoephedrinehydrochloride16mgml	2	1357935|2178162	SCDC	pseudoephedrine hydrochloride 1.6 mg/ml|pseudoephedrine hydrochloride 16 mg/ml
pseudoephedrine hydrochloride 2.5 mg/ml	pseudoephedrine hydrochloride 2 5 mg ml	pseudoephedrinehydrochloride25mgml	2	1010819|1010991	SCDC	pseudoephedrine hydrochloride 2.5 mg/ml|pseudoephedrine hydrochloride 25 mg/ml
pseudoephedrine hydrochloride 7.5 mg	pseudoephedrine hydrochloride 75 mg	pseudoephedrinehydrochloride75mg	2	1099673|1293705	SCDC	pseudoephedrine hydrochloride 7.5 mg|pseudoephedrine hydrochloride 75 mg
pyrantel 22.7 mg	pyrantel 22 7 mg	pyrantel227mg	2	1006640|892313	SCDC	pyrantel 22.7 mg|pyrantel 227 mg
pyridoxine hydrochloride 2.5 mg	pyridoxine hydrochloride 2 5 mg	pyridoxinehydrochloride25mg	2	349885|995850	SCDC	pyridoxine hydrochloride 2.5 mg|pyridoxine hydrochloride 25 mg
pyrilamine 2.5 mg/ml	pyrilamine 2 5 mg ml	pyrilamine25mgml	2	329473|334444	SCDC	pyrilamine 2.5 mg/ml|pyrilamine 25 mg/ml
